id;predict
5836;1
5850;0
5853;0
5854;0
5869;1
5871;0
5876;1
5914;1
5926;0
5929;0
5937;0
5939;0
5958;1
5984;1
5988;0
5991;0
5993;1
5997;1
6007;1
6010;1
6032;0
6053;1
6072;1
6080;0
6089;0
6091;0
6096;1
6105;0
6108;0
6127;1
6132;1
6138;0
6140;0
6157;1
6164;1
6170;0
6175;1
6188;1
6190;1
6217;0
6221;1
6222;0
6227;0
6236;0
6238;1
6256;1
6266;1
6298;0
6302;0
6311;1
6314;0
6327;1
6340;1
6342;1
6343;1
6355;0
6356;0
6359;1
6362;1
6367;1
6378;0
6412;0
6427;1
6432;0
6439;1
6450;1
6454;0
6458;0
6466;1
6473;0
6474;0
6479;0
6486;0
6492;0
6495;1
6499;1
6501;0
6517;1
6518;1
6528;1
6530;1
6545;0
6553;1
6559;1
6564;1
6577;1
6587;0
6593;1
6594;0
6596;1
6598;0
6603;0
6608;1
6612;1
6621;0
6623;0
6627;0
6656;1
6663;1
6677;1
6684;0
6686;1
6705;1
6711;0
6722;0
6726;0
6739;1
6747;0
6760;1
6767;1
6792;1
6800;1
6802;1
6809;0
6823;0
6841;1
6855;1
6876;1
6881;1
6887;0
6895;0
6907;0
6918;0
6922;0
6932;1
6942;1
6944;0
6947;1
6954;1
6968;1
6971;1
6988;0
6997;0
7004;0
7019;0
7024;0
7025;1
7037;0
7061;0
7065;1
7067;1
7083;1
7085;1
7087;1
7094;0
7096;0
7101;1
7107;1
7108;1
7112;1
7123;1
7132;1
7135;0
7147;0
7152;0
7154;1
7174;0
7188;0
7192;1
7193;0
7194;1
7200;1
7202;1
7205;1
7208;1
7215;1
7218;0
7221;0
7224;0
7231;1
7236;0
7240;1
7248;0
7252;0
7255;0
7284;0
7293;0
7297;1
7303;0
7311;1
7319;0
7328;0
7351;1
7353;1
7362;1
7369;0
7375;1
7389;1
7398;0
7406;1
7408;1
7418;1
7429;1
7432;1
7436;1
7441;0
7449;1
7451;0
7455;1
7459;1
7466;0
7467;1
7472;1
7477;0
7495;0
7519;1
7524;1
7579;1
7582;1
7594;0
7595;1
7603;1
7618;1
7619;0
7620;1
7621;1
7634;0
7648;1
7653;1
7663;0
7671;0
7672;1
7674;0
7683;1
7686;1
7694;1
7696;0
7724;0
7731;1
7735;0
7737;0
7746;1
7750;1
7771;1
7773;1
7774;1
7781;0
7788;0
7792;0
7814;1
7820;0
7821;0
7822;0
7824;0
7838;0
7843;1
7846;1
7854;1
7877;1
7896;1
7920;1
7942;0
7945;1
7948;1
7955;0
7960;0
7980;1
7982;1
7984;0
7995;0
8009;0
8014;0
8018;0
8020;1
8024;1
8043;1
8050;1
8058;1
8072;1
8093;0
8098;1
8099;1
8113;0
8121;1
8127;0
8139;0
8144;0
8157;1
8173;0
8203;1
8207;1
