ar_revenue,ar_total_expenses,ar_sale_cost,ar_selling_expenses,ar_management_expenses,ar_sale_profit,ar_balance_of_rvns_and_expns,ar_profit_before_tax,ar_taxes,ar_other_profit_and_losses,ar_net_profit,ab_immobilized_assets,ab_mobile_current_assets,ab_inventory,ab_accounts_receivable,ab_other_current_assets,ab_cash_and_securities,ab_losses,ab_own_capital,ab_borrowed_capital,ab_long_term_liabilities,ab_short_term_borrowing,ab_accounts_payable,ab_other_borrowings,bus_age,ogrn_age,adr_actual_age,head_actual_age,cap_actual_age,ul_capital_sum,ul_founders_cnt,ul_branch_cnt,ul_strategic_flg,ul_systematizing_flg,record_id,ul_staff_range,lgd
38145000.0,36521000.0,36521000.0,0.0,0.0,1624000.0,-4292000.0,-2668000.0,269000.0,0.0,-2937000.0,0.0,26340000.0,13967000.0,12373000.0,0.0,6238000.0,-2937000.0,10547000.0,20508000.0,0.0,0.0,20508000.0,0.0,107,107,30,30,30,10000.0,1,0,0,0,269630,> 500,0.0
,,,,,,,,,,,,,,,,,,,,,,,,48,48,3,3,3,10000.0,1,0,0,0,101628,[1-100],0.43333333333333335
6685000.0,6524000.0,6524000.0,0.0,0.0,161000.0,-36000.0,125000.0,25000.0,0.0,100000.0,0.0,1401000.0,1235000.0,166000.0,0.0,28000.0,100000.0,301000.0,1128000.0,0.0,718000.0,410000.0,0.0,62,62,28,28,28,10000.0,1,0,0,0,211662,[1-100],0.23888888888888885
24472000.0,23033000.0,23033000.0,0.0,0.0,1439000.0,-1405000.0,34000.0,7000.0,0.0,27000.0,0.0,9392000.0,5221000.0,4171000.0,0.0,32000.0,27000.0,-2002000.0,3668000.0,0.0,0.0,3668000.0,0.0,195,137,24,24,24,9000.0,1,0,0,0,262066,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,5,5,10000.0,1,0,0,0,23222,[1-100],0.9444444444444445
26194000.0,25844000.0,25844000.0,0.0,0.0,350000.0,-23000.0,327000.0,65000.0,0.0,262000.0,0.0,5111000.0,1362000.0,3749000.0,0.0,506000.0,262000.0,272000.0,5614000.0,0.0,0.0,5614000.0,0.0,31,31,26,26,26,10000.0,1,0,0,0,273886,[1-100],0.16531127638175602
,,,,,,,,,,,,,,,,,,,,,,,,83,83,25,25,25,500000.0,1,0,0,0,56684,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,138,138,24,24,24,10000.0,1,0,0,0,71847,[1-100],0.5208333333333333
,,,,,,,,,,,,,,,,,,,,,,,,26,26,8,8,8,1100000.0,1,0,0,0,165693,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,48,48,30,30,30,10000.0,1,0,0,0,200260,[1-100],1.0
6233000.0,5566000.0,5566000.0,0.0,0.0,667000.0,0.0,667000.0,0.0,0.0,667000.0,0.0,4186000.0,469000.0,3717000.0,0.0,0.0,667000.0,1730000.0,2554000.0,0.0,0.0,758000.0,1796000.0,92,92,23,23,23,301600.0,1,0,0,0,170222,[1-100],0.6805555555555556
8275000.0,7285000.0,7285000.0,0.0,0.0,990000.0,-908000.0,82000.0,70000.0,0.0,12000.0,21000.0,4066000.0,2905000.0,1161000.0,0.0,58000.0,12000.0,-1843000.0,5988000.0,0.0,5460000.0,528000.0,0.0,100,100,2,2,2,10000.0,1,0,0,0,124283,[1-100],0.6527777777777778
18438000.0,18165000.0,15248000.0,2917000.0,0.0,273000.0,-115000.0,158000.0,32000.0,0.0,126000.0,0.0,11152000.0,10307000.0,775000.0,70000.0,32000.0,126000.0,826000.0,10358000.0,0.0,1002000.0,8550000.0,806000.0,91,91,31,31,31,100000.0,1,0,0,0,76893,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,115,115,2,2,2,1000000.0,13,0,0,0,242956,(100-500],0.6006944444444444
,,,,,,,,,,,,,,,,,,,,,,,,22,22,2,2,2,10000.0,1,0,0,0,249596,[1-100],1.0
20796000.0,18584000.0,18584000.0,0.0,0.0,2212000.0,-689000.0,1523000.0,0.0,0.0,1523000.0,0.0,7156000.0,2736000.0,4420000.0,0.0,7000.0,1523000.0,3526000.0,3637000.0,2051000.0,0.0,1586000.0,0.0,79,79,4,4,4,10000.0,1,0,0,0,231266,[1-100],0.7256944444444444
,,,,,,,,,,,,,,,,,,,,,,,,14,14,15,15,15,10000.0,1,0,0,0,120740,[1-100],0.9055555555555556
,,,,,,,,,,,,,,,,,,,,,,,,206,136,11,11,11,50000.0,1,0,0,0,255175,[1-100],0.0
2016000.0,2210000.0,2210000.0,0.0,0.0,-194000.0,0.0,-194000.0,52000.0,0.0,-246000.0,0.0,1132000.0,776000.0,356000.0,0.0,217000.0,-246000.0,-237000.0,1586000.0,1550000.0,0.0,36000.0,0.0,17,17,4,4,4,10000.0,2,0,0,0,48845,[1-100],0.8638888888888888
9198000.0,8985000.0,8985000.0,0.0,0.0,213000.0,-213000.0,0.0,0.0,0.0,0.0,0.0,10551000.0,1455000.0,9096000.0,0.0,30000.0,0.0,10000.0,10603000.0,0.0,500000.0,10103000.0,0.0,172,132,22,22,22,10000.0,1,0,0,0,149175,[1-100],0.4027777777777778
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41000.0,10000.0,31000.0,0.0,4000.0,0.0,10000.0,35000.0,0.0,35000.0,0.0,0.0,13,13,2,2,2,10000.0,1,0,0,0,33232,[1-100],0.9194444444444444
,,,,,,,,,,,,,,,,,,,,,,,,24,24,2,2,2,10000.0,1,0,0,0,50642,[1-100],1.0
8636000.0,8468000.0,8468000.0,0.0,0.0,168000.0,-61000.0,107000.0,21000.0,0.0,86000.0,0.0,4106000.0,3586000.0,520000.0,0.0,14000.0,86000.0,744000.0,4041000.0,0.0,3073000.0,968000.0,0.0,236,137,2,2,2,10000.0,1,0,0,0,168112,[1-100],0.0
14845000.0,9699000.0,9699000.0,0.0,0.0,5146000.0,-1173000.0,3973000.0,0.0,0.0,3973000.0,0.0,18031000.0,10395000.0,7636000.0,0.0,451000.0,3973000.0,33304000.0,33000.0,0.0,0.0,33000.0,0.0,135,135,13,13,13,10000.0,2,0,0,0,179066,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,12,12,11,11,11,10000.0,1,0,0,0,18329,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,80,80,21,21,21,10000.0,1,0,0,0,241234,[1-100],0.7222222222222222
,,,,,,,,,,,,,,,,,,,,,,,,29,29,29,29,29,10000.0,1,0,0,0,120920,[1-100],0.6972222222222222
14617000.0,14488000.0,14488000.0,0.0,0.0,129000.0,-86000.0,43000.0,9000.0,0.0,34000.0,0.0,384000.0,22000.0,362000.0,0.0,833000.0,34000.0,-1779000.0,3118000.0,0.0,0.0,3118000.0,0.0,103,103,10,10,10,750000.0,1,0,0,0,149395,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,83,83,19,19,19,10000.0,1,0,0,0,230518,[1-100],0.7118055555555556
,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,10000.0,1,0,0,0,141271,[1-100],1.0
1208000.0,1040000.0,1040000.0,0.0,0.0,168000.0,-70000.0,98000.0,0.0,0.0,98000.0,0.0,1050000.0,1050000.0,0.0,0.0,10000.0,98000.0,143000.0,69000.0,0.0,69000.0,0.0,0.0,27,27,11,11,11,100000.0,2,0,0,0,105953,[1-100],0.31565181211247473
14558000.0,14160000.0,14160000.0,0.0,0.0,398000.0,-15000.0,383000.0,87000.0,0.0,296000.0,0.0,7803000.0,1366000.0,6437000.0,0.0,240000.0,296000.0,1337000.0,1888000.0,0.0,130000.0,1758000.0,0.0,122,122,23,23,23,10000.0,1,0,0,0,253980,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,48,48,4,4,4,10000.0,1,0,0,0,40626,[1-100],0.43333333333333335
,,,,,,,,,,,,,,,,,,,,,,,,223,138,26,26,26,5500.0,2,0,0,0,260914,[1-100],0.22569444444444442
110122000.0,109479000.0,95926000.0,13553000.0,0.0,643000.0,2468000.0,3111000.0,607000.0,0.0,2504000.0,624000.0,12723000.0,6917000.0,5806000.0,0.0,7807000.0,2504000.0,8302000.0,12852000.0,0.0,0.0,12852000.0,0.0,105,105,10,10,10,10000.0,3,0,0,0,186576,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,17,17,6,6,6,10000.0,1,0,0,0,129733,[1-100],0.8638888888888888
,,,,,,,,,,,,,,,,,,,,,,,,22,22,23,23,23,10000.0,1,0,0,0,171921,[1-100],0.7944444444444444
,,,,,,,,,,,,,,,,,,,,,,,,115,115,15,15,15,10000.0,1,0,0,0,108600,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,70,70,6,6,6,10000.0,3,0,0,0,56986,[1-100],0.1277777777777778
,,,,,,,,,,,,,,,,,,,,,,,,112,112,1,1,1,250000.0,1,0,0,0,46666,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,29,29,29,29,29,10000.0,1,0,0,0,262729,[1-100],1.0
7108000.0,7538000.0,7538000.0,0.0,0.0,-430000.0,-26000.0,-456000.0,0.0,0.0,-456000.0,69000.0,13744000.0,4724000.0,9020000.0,0.0,0.0,-456000.0,1031000.0,12782000.0,0.0,0.0,12782000.0,0.0,61,61,4,4,4,10725000.0,4,0,0,0,233633,[1-100],0.22904815986830152
,,,,,,,,,,,,,,,,,,,,,,,,63,63,2,2,2,10000.0,1,0,0,0,63899,[1-100],0.225
2814000.0,2752000.0,2752000.0,0.0,0.0,62000.0,-44000.0,18000.0,4000.0,0.0,14000.0,0.0,861000.0,300000.0,561000.0,0.0,0.0,14000.0,54000.0,807000.0,0.0,0.0,807000.0,0.0,56,56,3,3,3,50000.0,1,0,0,0,105553,[1-100],0.27432842344110875
,,,,,,,,,,,,,,,,,,,,,,,,39,39,21,21,21,10000.0,2,0,0,0,182686,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,9,9,7,7,7,10000.0,1,0,0,0,156051,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,64,64,15,15,15,10000.0,1,0,0,0,7065,[1-100],1.0
96762000.0,95282000.0,95282000.0,0.0,0.0,1480000.0,-215000.0,1265000.0,253000.0,0.0,1012000.0,1337000.0,19823000.0,3431000.0,15518000.0,874000.0,1800000.0,1012000.0,1022000.0,21938000.0,0.0,105000.0,21757000.0,76000.0,28,28,29,29,29,10000.0,1,0,0,0,103688,[1-100],0.1014564007880383
24271000.0,22458000.0,22458000.0,0.0,0.0,1813000.0,-315000.0,1498000.0,90000.0,0.0,1408000.0,0.0,5350000.0,3337000.0,2013000.0,0.0,253000.0,1408000.0,5448000.0,155000.0,0.0,0.0,155000.0,0.0,65,65,8,8,8,10000.0,1,0,0,0,33518,[1-100],0.16903724792270658
,,,,,,,,,,,,,,,,,,,,,,,,30,30,2,2,2,20000.0,2,0,0,0,222399,[1-100],1.0
21007000.0,20940000.0,20940000.0,0.0,0.0,67000.0,-17000.0,50000.0,10000.0,0.0,40000.0,0.0,5122000.0,1882000.0,3240000.0,0.0,188000.0,40000.0,50000.0,5260000.0,0.0,0.0,5260000.0,0.0,23,23,13,13,13,10000.0,2,0,0,0,151697,[1-100],0.7805555555555556
,,,,,,,,,,,,,,,,,,,,,,,,58,58,8,8,8,10000.0,1,0,0,0,102807,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,22,22,6,6,6,20000.0,2,0,0,0,188680,[1-100],0.7944444444444444
,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,9,9,10000.0,1,0,0,0,58548,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,122,122,6,6,6,6666.0,2,0,0,0,156174,[1-100],0.5763888888888888
50272000.0,50266000.0,50266000.0,0.0,0.0,6000.0,-26000.0,-20000.0,25000.0,0.0,-45000.0,0.0,21648000.0,14326000.0,7322000.0,0.0,733000.0,-45000.0,21000.0,22210000.0,0.0,0.0,22210000.0,0.0,33,33,6,6,6,100000.0,2,0,0,0,272035,[1-100],0.6416666666666667
19935000.0,17600000.0,17600000.0,0.0,0.0,2335000.0,-788000.0,1547000.0,236000.0,0.0,1311000.0,672000.0,14401000.0,10570000.0,3831000.0,0.0,2127000.0,1311000.0,8034000.0,9166000.0,4874000.0,0.0,4292000.0,0.0,80,80,12,12,12,10000.0,1,0,0,0,20451,[1-100],0.7222222222222222
,,,,,,,,,,,,,,,,,,,,,,,,18,18,1,1,1,517000.0,1,0,0,0,173302,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,91,91,3,3,3,27800.0,1,0,0,0,58774,[1-100],0.0
78528000.0,80296000.0,80296000.0,0.0,0.0,-1768000.0,2257000.0,489000.0,234000.0,0.0,255000.0,0.0,64470000.0,4958000.0,59512000.0,0.0,34000.0,255000.0,481000.0,71126000.0,0.0,28586000.0,42540000.0,0.0,132,132,7,7,7,10000.0,1,0,0,0,210212,[1-100],0.5416666666666667
,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,8,8,10000.0,1,0,0,0,134603,[1-100],0.9888888888888888
,,,,,,,,,,,,,,,,,,,,,,,,129,129,1,1,1,10000.0,2,0,0,0,36454,[1-100],0.5520833333333333
,,,,,,,,,,,,,,,,,,,,,,,,28,28,12,12,12,10000.0,1,0,0,0,125891,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,16,16,17,17,17,10000.0,2,0,0,0,250571,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,10000.0,1,0,0,0,152565,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,76,76,27,27,27,10000.0,1,0,0,0,139923,[1-100],0.0
6410000.0,5360000.0,5360000.0,0.0,0.0,1050000.0,-299000.0,751000.0,1000.0,0.0,750000.0,0.0,2746000.0,787000.0,1959000.0,0.0,1000.0,750000.0,-1091000.0,1610000.0,0.0,1084000.0,526000.0,0.0,54,54,2,2,2,75000.0,2,0,0,0,260960,[1-100],0.23409906877820363
,,,,,,,,,,,,,,,,,,,,,,,,44,44,26,26,26,10000.0,1,0,0,0,110284,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,11,11,10,10,10,10000.0,1,0,0,0,67769,[1-100],0.9472222222222222
,,,,,,,,,,,,,,,,,,,,,,,,42,42,26,26,26,10000.0,1,0,0,0,200040,[1-100],0.5166666666666666
149000.0,112000.0,58000.0,54000.0,0.0,37000.0,1000.0,38000.0,6000.0,1000.0,33000.0,0.0,11000.0,9000.0,0.0,2000.0,247000.0,31000.0,41000.0,217000.0,0.0,180000.0,37000.0,0.0,20,20,10,10,10,10000.0,1,0,0,0,112728,[1-100],0.41791787692262117
,,,,,,,,,,,,,,,,,,,,,,,,22,22,9,9,9,50000.0,5,0,0,0,255120,[1-100],1.0
21306000.0,18431000.0,18431000.0,0.0,0.0,2875000.0,-49000.0,2826000.0,0.0,0.0,2826000.0,0.0,3155000.0,3155000.0,0.0,0.0,92000.0,2826000.0,3046000.0,201000.0,0.0,0.0,201000.0,0.0,95,95,9,9,9,219700.0,1,0,0,0,42729,[1-100],0.6701388888888888
,,,,,,,,,,,,,,,,,,,,,,,,15,15,8,8,8,10000.0,1,0,0,0,95282,[1-100],1.0
6752000.0,6588000.0,5537000.0,1051000.0,0.0,164000.0,-40000.0,124000.0,0.0,60000.0,184000.0,0.0,809000.0,809000.0,0.0,0.0,5000.0,64000.0,309000.0,505000.0,0.0,260000.0,245000.0,0.0,44,44,3,3,3,100000.0,1,0,0,0,195113,[1-100],0.23155901957406966
,,,,,,,,,,,,,,,,,,,,,,,,8,8,1,1,1,20000.0,1,0,0,0,2030,[1-100],0.9888888888888888
,,,,,,,,,,,,,,,,,,,,,,,,78,78,2,2,2,40000.0,1,0,0,0,38584,[1-100],0.0
9417000.0,9388000.0,9294000.0,94000.0,0.0,29000.0,0.0,29000.0,0.0,0.0,29000.0,0.0,0.0,0.0,0.0,0.0,394000.0,29000.0,39000.0,355000.0,0.0,284000.0,71000.0,0.0,35,35,14,14,14,10000.0,1,0,0,0,5869,[1-100],0.2153022597302502
,,,,,,,,,,,,,,,,,,,,,,,,72,72,4,4,4,100000.0,1,0,0,0,180560,[1-100],1.0
7707000.0,6610000.0,6610000.0,0.0,0.0,1097000.0,-238000.0,859000.0,119000.0,0.0,740000.0,0.0,1616000.0,1012000.0,604000.0,0.0,229000.0,740000.0,1660000.0,241000.0,0.0,0.0,241000.0,0.0,38,38,27,27,27,10000.0,1,0,0,0,250741,[1-100],0.5722222222222222
53388000.0,52521000.0,52521000.0,0.0,0.0,867000.0,-125000.0,742000.0,148000.0,0.0,594000.0,0.0,10504000.0,8210000.0,2294000.0,0.0,152000.0,594000.0,4089000.0,7411000.0,0.0,1142000.0,6269000.0,0.0,135,135,23,23,23,8800.0,88,0,0,0,220546,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,73,73,26,26,26,10000.0,4,0,0,0,55993,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,127,127,1,1,1,300000.0,3,0,0,0,116363,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,91,91,24,24,24,120000.0,3,0,0,0,79496,[1-100],0.6840277777777778
120496000.0,115549000.0,115549000.0,0.0,0.0,4947000.0,-4665000.0,282000.0,242000.0,0.0,40000.0,0.0,57275000.0,28873000.0,28402000.0,0.0,91000.0,40000.0,3673000.0,62407000.0,0.0,28051000.0,34356000.0,0.0,50,50,8,8,8,10000.0,1,0,0,0,200101,[1-100],0.09073696307356127
,,,,,,,,,,,,,,,,,,,,,,,,52,52,25,25,25,10000.0,1,0,0,0,228176,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,122,122,25,25,25,10000.0,1,0,0,0,134165,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,16,16,10000.0,2,0,0,0,195248,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,74,74,20,20,20,11000.0,1,0,0,0,251349,[1-100],0.0
2790000.0,2758000.0,2758000.0,0.0,0.0,32000.0,-21000.0,11000.0,2000.0,0.0,9000.0,0.0,2281000.0,0.0,2281000.0,0.0,26000.0,9000.0,19000.0,2288000.0,0.0,0.0,2288000.0,0.0,20,20,18,18,18,10000.0,1,0,0,0,193805,[1-100],0.2747469816104705
,,,,,,,,,,,,,,,,,,,,,,,,169,141,1,1,1,10000.0,1,0,0,0,12076,[1-100],0.4131944444444444
,,,,,,,,,,,,,,,,,,,,,,,,36,36,27,27,27,10000.0,1,0,0,0,256022,[1-100],1.0
62778000.0,62108000.0,62108000.0,0.0,0.0,670000.0,-287000.0,383000.0,100000.0,0.0,283000.0,0.0,8678000.0,4000.0,8674000.0,0.0,17233000.0,283000.0,293000.0,26571000.0,0.0,5522000.0,17597000.0,3452000.0,50,50,10,10,10,10000.0,1,0,0,0,232709,[1-100],0.1225984254289525
,,,,,,,,,,,,,,,,,,,,,,,,17,17,11,11,11,10000.0,1,0,0,0,92287,[1-100],1.0
2522000.0,1328000.0,1328000.0,0.0,0.0,1194000.0,0.0,1194000.0,0.0,0.0,1194000.0,0.0,2184000.0,2184000.0,0.0,0.0,89000.0,1194000.0,3157000.0,350000.0,0.0,350000.0,0.0,0.0,254,136,7,7,7,0.0,2,0,0,0,165465,[1-100],0.11805555555555558
,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,10000.0,1,0,0,0,220411,[1-100],1.0
34429000.0,33233000.0,33233000.0,0.0,0.0,1196000.0,-126000.0,1070000.0,352000.0,0.0,718000.0,0.0,33378000.0,30976000.0,2402000.0,0.0,238000.0,718000.0,8383000.0,19560000.0,0.0,11514000.0,8046000.0,0.0,285,140,5,5,5,1250.0,6,0,0,0,166705,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,34,34,25,25,25,20000.0,2,0,0,0,155817,[1-100],0.6277777777777778
,,,,,,,,,,,,,,,,,,,,,,,,44,44,14,14,14,10000.0,1,0,0,0,118582,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,9,9,10000.0,1,0,0,0,122968,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,83,83,23,23,23,10000.0,2,0,0,0,30848,[1-100],0.7118055555555556
408026000.0,395503000.0,364008000.0,10757000.0,20738000.0,12523000.0,-8603000.0,3920000.0,-606000.0,538000.0,5064000.0,65559000.0,168755000.0,106607000.0,61914000.0,234000.0,745000.0,2098000.0,51839000.0,183220000.0,36371000.0,60140000.0,85119000.0,1590000.0,255,138,19,19,19,12180000.0,3,0,0,0,44276,(100-500],0.11458333333333337
,,,,,,,,,,,,,,,,,,,,,,,,20,20,7,7,7,10000.0,1,0,0,0,134305,[1-100],0.8222222222222222
,,,,,,,,,,,,,,,,,,,,,,,,31,31,5,5,5,22000.0,2,0,0,0,199951,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,43,43,2,2,2,20000.0,2,0,0,0,176376,[1-100],1.0
21161000.0,16501000.0,16501000.0,0.0,0.0,4660000.0,-1353000.0,3307000.0,0.0,0.0,3307000.0,7839000.0,21362000.0,0.0,21362000.0,0.0,375000.0,3307000.0,26493000.0,3083000.0,1215000.0,0.0,1868000.0,0.0,189,144,4,4,4,1364500.0,2,0,0,0,206583,[1-100],0.34375
,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,10000.0,1,0,0,0,85070,[1-100],0.9305555555555557
,,,,,,,,,,,,,,,,,,,,,,,,97,97,3,3,3,10000.0,1,0,0,0,7174,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,27,27,3,3,3,10000.0,2,0,0,0,191457,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,28,28,16,16,16,10000.0,1,0,0,0,215614,[1-100],0.7111111111111111
,,,,,,,,,,,,,,,,,,,,,,,,12,12,4,4,4,10000.0,1,0,0,0,26644,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,9,9,10,10,10,10000.0,2,0,0,0,130560,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,97,97,2,2,2,700000.0,2,0,0,0,9813,[1-100],0.6631944444444444
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62,62,6,6,6,10000.0,1,0,0,0,62081,[1-100],1.0
,,,,,,,,,,,,,,,,,,,,,,,,228,135,24,24,24,3900000.0,2,0,0,0,142539,[1-100],0.20833333333333337
,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,10000.0,1,0,0,0,15523,[1-100],1.0
46243000.0,45413000.0,45413000.0,0.0,0.0,830000.0,195000.0,1025000.0,0.0,0.0,1025000.0,25361000.0,30611000.0,28510000.0,1024000.0,1077000.0,11000.0,1025000.0,17350000.0,38633000.0,9928000.0,20349000.0,8356000.0,0.0,220,136,26,26,26,0.0,270,0,0,0,98410,(100-500],0.0
,,,,,,,,,,,,,,,,,,,,,,,,25,25,4,4,4,15625.0,2,0,0,0,274002,[1-100],0.7527777777777778
18839000.0,18726000.0,18726000.0,0.0,0.0,113000.0,22000.0,135000.0,22000.0,0.0,113000.0,0.0,5855000.0,3214000.0,2641000.0,0.0,251000.0,113000.0,-83000.0,6189000.0,0.0,1222000.0,4967000.0,0.0,42,42,11,11,11,10000.0,1,0,0,0,37795,[1-100],0.18141769417430742
218517000.0,214456000.0,214456000.0,0.0,0.0,4061000.0,-2442000.0,1619000.0,324000.0,0.0,1295000.0,0.0,22445000.0,9728000.0,12717000.0,0.0,6007000.0,1295000.0,1941000.0,7750000.0,0.0,5132000.0,2249000.0,369000.0,103,103,5,5,5,10000.0,1,0,0,0,200973,[1-100],0.0
,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,10000.0,1,0,0,0,114735,[1-100],1.0
12062000.0,10614000.0,10614000.0,0.0,0.0,1448000.0,0.0,1448000.0,181000.0,0.0,1267000.0,0.0,1493000.0,1493000.0,0.0,0.0,34000.0,1267000.0,1277000.0,250000.0,0.0,0.0,250000.0,0.0,19,19,18,18,18,10000.0,1,0,0,0,214035,[1-100],0.20320570742065958
25696000.0,24672000.0,24672000.0,0.0,0.0,1024000.0,0.0,1024000.0,205000.0,0.0,819000.0,0.0,9691000.0,5113000.0,4578000.0,0.0,109000.0,819000.0,2865000.0,7818000.0,0.0,0.0,7486000.0,332000.0,83,83,5,5,5,10000.0,1,0,0,0,148886,[1-100],0.7118055555555556
